qid,doc_id,seedA,seedB,packedN_A,packedN_B,common_u,same_nn,diff_nn,picked_A,picked_B,avg_abs_l2_gap,delta_total,prematched_flow,prematch_ratio,residual_mass,nz_plus,nz_minus,prematch_cost,baseline_A,residual_A,total_A,improve_A,baseline_B,residual_B,total_B,improve_B,t_parse,t_compare,t_prematch,t_costA_base,t_costA_res,t_costB_base,t_costB_res,t_total
0,34,110,111,237,208,34,1,33,15,19,0.9322805018985972,0.9863013698630138,0.1780821917808219,0.18055555555555552,0.8082191780821917,34,59,0.8337565333875891,5.978324890136719,5.017702579498291,5.85145911288588,0.12686577725083836,5.970851421356201,5.011262893676758,5.845019427064347,0.125831994291854,0.00012350099950708682,0.0006068020002203411,0.00013600100010080496,0.4083604830002514,0.3914718060004816,0.3984590379996007,0.3999977450002916,1.5991645759995663
0,35,110,111,1037,926,34,1,33,15,19,0.8966700013946084,0.9980276134122289,0.04339250493096649,0.04347826086956523,0.9546351084812623,34,484,0.20390487305041133,6.10026741027832,5.878295421600342,6.082200294650753,0.018067115627567354,6.198260307312012,5.966244697570801,6.170149570621212,0.028110736690799776,0.00011860099948535208,0.0006079029999455088,0.0004476020003494341,0.3977051350002512,0.3929805130001114,0.3980809330005286,0.40374515900020924,1.5936954459994013
0,36,110,111,219,199,34,5,29,19,15,0.7189023985582239,1.0,0.16923076923076924,0.16923076923076924,0.8307692307692308,34,54,0.8036356082329382,6.034412384033203,5.166367530822754,5.9700031390556925,0.06440924497751066,6.038525104522705,5.19485330581665,5.998488914049589,0.04003619047311613,0.00011699999959091656,0.000569603000258212,0.0001274010000997805,0.3959342230000402,0.39378051299991057,0.4200691349997214,0.4225720460008233,1.6331797209995784
0,37,110,111,1319,1168,34,1,33,16,18,0.7160124673562891,0.989795918367347,0.036443148688046656,0.03681885125184095,0.9533527696793,34,654,0.18241252513390588,5.923340797424316,5.744210720062256,5.926623245196161,-0.003282447771844943,5.892841815948486,5.715354919433594,5.897767444567499,-0.004925628619012912,0.00012590099959197687,0.0005995020001137163,0.0005927030006205314,0.4069917750002787,0.4197718340001302,0.4046941639999204,0.41769002500041097,1.6504759039999044
0,38,110,111,246,226,34,5,29,19,15,0.7612625640981338,1.0,0.17333333333333334,0.17333333333333334,0.8266666666666668,34,62,0.9043540732065838,5.913235187530518,5.019047737121582,5.923401810328166,-0.010166622797648017,5.942209243774414,5.006522178649902,5.910876251856486,0.031332991917928155,0.00012580000020534499,0.0006036029999449966,0.00015220100067381281,0.4091808849998415,0.40867808399980277,0.39987214299981133,0.3997766419997788,1.6183986579999328
0,39,110,111,171,151,34,2,32,14,20,0.8661574966767255,1.0,0.325,0.325,0.6749999999999999,34,27,1.8325642764568333,5.898239612579346,3.9268078804016113,5.759372156858444,0.1388674557209013,6.020405292510986,3.900629997253418,5.733194273710251,0.2872110188007353,0.00011620100030995673,0.0005791029998363229,0.00010599999950500205,0.40269265599999926,0.39482302000033087,0.39734603199940466,0.41904473199974746,1.6147180440002558
0,40,110,111,276,217,34,7,27,26,8,0.8139921637142405,0.977777777777778,0.12222222222222223,0.12499999999999999,0.8555555555555556,34,77,0.6968778954611885,5.767632484436035,5.06458854675293,5.761466442214118,0.0061660422219169675,5.880134582519531,5.125672340393066,5.822550235854255,0.05758434666527634,0.00012849999984609894,0.0005923030003032181,0.0001482010002291645,0.4027569569998377,0.39862093499959883,0.4173695139998017,0.3965438189998167,1.6161950290006644
0,41,110,111,119,111,33,4,29,20,13,0.6094725493228796,0.9705882352941178,0.47368421052631576,0.48803827751196166,0.496904024767802,24,10,2.5174439857618727,5.85083532333374,3.3645286560058594,5.881972641767732,-0.031137318433991368,5.954530715942383,3.272021532058716,5.789465517820588,0.16506519812179477,0.00011540099967533024,0.0005593020005107974,9.780100026546279e-05,0.41324039499977516,0.40924787699987064,0.39678902000014205,0.4171657139995659,1.6372254099997008
0,42,110,111,239,230,34,0,34,14,20,0.7321248475243064,1.0,0.19230769230769235,0.19230769230769235,0.807692307692308,34,63,1.008476666915111,6.20919942855835,5.167196273803711,6.1756729407188224,0.033526487839527164,6.310978412628174,5.295553207397461,6.3040298743125724,0.0069485383156013825,0.00013720100014324998,0.0005712020001737983,0.00014000099963595858,0.40205314499962697,0.40906487699976424,0.39770592500008206,0.398164326999904,1.607846777999839
0,43,110,111,459,392,34,1,33,18,16,1.1072121227488798,0.9944444444444446,0.10555555555555551,0.10614525139664799,0.8888888888888893,34,160,0.5860846413506402,6.0402936935424805,5.427043437957764,6.013128079308403,0.02716561423407704,6.022764682769775,5.340421676635742,5.926506317986382,0.09625836478339345,0.0001181010002255789,0.0005729019994760165,0.00021090100017318036,0.41092628600017633,0.40574156299953756,0.40156824299992877,0.4197330269998929,1.6388807230005114
0,44,110,111,140,116,34,7,27,23,11,0.6972348409540513,1.0,0.3056265984654732,0.3056265984654732,0.694373401534527,26,18,1.862032665316101,6.212491512298584,4.187614917755127,6.049647583071228,0.16284392922735602,6.017874717712402,4.006914138793945,5.868946804110046,0.14892791360235602,0.00012380099997244542,0.0006402019998859032,0.0001046010002028197,0.41330429799927515,0.4096879810003884,0.41248509400065814,0.400122637000095,1.6364795139998023
0,45,110,111,137,120,34,6,28,17,17,1.1598176325068754,1.0,0.4093137254901962,0.4093137254901962,0.590686274509804,23,17,2.240384092517927,6.099599361419678,3.704799175262451,5.9451832677803775,0.1544160936393002,6.168466567993164,3.86177396774292,6.102158060260846,0.06630850773231778,0.00012860100014222553,0.0006050029996913509,0.00014120000014372636,0.4127223959994808,0.40211504099988815,0.408908067000084,0.4030040409998037,1.627634749000208
0,46,110,111,359,340,34,1,33,17,17,1.1226749034488903,0.992248062015504,0.10852713178294573,0.10937499999999999,0.8837209302325583,34,114,0.5236678502356358,5.988239288330078,5.427340030670166,5.951007880905802,0.037231407424275886,6.155797004699707,5.552407741546631,6.076075591782267,0.07972141291743995,0.00014020099933986785,0.000663003000227036,0.00018100099987350404,0.39728881399969396,0.40394184600063454,0.4041396459997486,0.40215193800031557,1.60851644900049
0,47,110,111,117,112,34,5,29,19,15,0.582368906806497,1.0,0.37132352941176466,0.37132352941176466,0.6286764705882354,22,11,2.2113159894943237,6.359445571899414,4.1087517738342285,6.320067763328552,0.039377808570861816,6.480489253997803,4.147029399871826,6.35834538936615,0.12214386463165283,0.00012519999927462777,0.0005918030001339503,9.940000018104911e-05,0.3955037080004331,0.3936453989999791,0.3991552239995144,0.4056461540003511,1.5947767879997627
0,48,110,111,204,186,34,6,28,21,13,0.761710054734174,0.9811320754716982,0.2452830188679245,0.24999999999999994,0.7358490566037738,34,39,1.3470506038305896,5.858598232269287,4.483365058898926,5.830415662729515,0.02818256953977194,6.1358489990234375,4.5853590965271,5.932409700357689,0.2034392986657485,0.000126801000078558,0.000644803000795946,0.00012130000050092349,0.3936264989997653,0.396599313000479,0.4127551860001404,0.41604140300023573,1.619925305999459
0,49,110,111,176,165,34,5,29,20,14,0.9908828805474674,1.0,0.30232558139534876,0.30232558139534876,0.6976744186046512,34,30,1.5778606492419573,6.014825344085693,4.459162712097168,6.037023361339125,-0.022198017253431956,6.102137088775635,4.539575099945068,6.117435749187026,-0.01529866041139094,0.00012079999942216091,0.0006535029997394304,0.00010870099958992796,0.4003736310005479,0.4130768890008767,0.3958266099998582,0.40177343800041854,1.6119436720000522
0,50,110,111,169,168,34,0,34,10,24,1.526595347067889,1.0,0.2439024390243902,0.2439024390243902,0.7560975609756098,34,31,1.2237410312745631,6.726690769195557,5.300169467926025,6.523910499200588,0.20278026999496834,6.769700527191162,5.571094512939453,6.794835544214016,-0.025135017022853923,0.00011810000069090165,0.0006209030007084948,0.00010110099992743926,0.3959286110002722,0.4071217489999981,0.4175067919995854,0.3996818109999367,1.6210890669999571
0,51,110,111,115,106,34,1,33,11,23,0.9553051205242381,1.0,0.4007352941176471,0.4007352941176471,0.599264705882353,21,11,2.190745958510567,5.988343715667725,3.8924808502197266,6.083226808730293,-0.09488309306256859,6.224100112915039,3.852121353149414,6.042867311659981,0.18123280125505836,0.00011730000005627517,0.0005707029995392077,9.080000018002465e-05,0.39371918399956485,0.41987220299961336,0.4019635219992779,0.40956435599946417,1.6259077680006158
0,52,110,111,163,153,34,2,32,17,17,0.8946503470925724,1.0,0.31428571428571433,0.31428571428571433,0.6857142857142857,34,24,1.575307491847447,6.100971698760986,4.430469989776611,6.005777481624058,0.09519421713692822,6.378181457519531,4.491855621337891,6.067163113185337,0.31101834433419384,0.00012700099978246726,0.000594301999626623,0.00010530100007599685,0.3994242099997791,0.41358087499975227,0.4249615270000504,0.42064730699985375,1.6594507229992814
0,53,110,111,214,201,34,5,29,21,13,0.8926054099026848,0.9508196721311477,0.22613307618129214,0.23782961460446236,0.7246865959498553,33,45,1.2666884385976176,6.04709529876709,4.639029502868652,5.9057179414662695,0.14137735730082035,6.152326583862305,4.7325005531311035,5.999188991728721,0.15313759213358402,0.00013010000020585721,0.0006140030000096885,0.00012760099980368977,0.4106717619997653,0.39669299900015176,0.40264242600005673,0.4017462219999288,1.6126353130002826
0,54,110,111,108,93,34,2,32,32,2,0.9467659627690035,1.0,0.22941176470588237,0.22941176470588237,0.7705882352941178,27,8,1.3841908623190486,6.542642593383789,5.152155876159668,6.536346738478716,0.006295854905072673,6.5482916831970215,5.040719509124756,6.424910371443804,0.1233813117532172,0.0001167009995697299,0.0005593019996013027,7.929999992484227e-05,0.3951501929996084,0.39521149300071556,0.39682150000044203,0.40316982900003495,1.5911172179994537
0,55,110,111,214,203,34,1,33,12,22,0.8585725321489222,0.9841269841269842,0.25396825396825395,0.25806451612903225,0.73015873015873,34,46,1.4093559999314567,6.379070281982422,4.936689853668213,6.346045853599669,0.033024428382752546,6.332233428955078,4.982938766479492,6.392294766410949,-0.0600613374558705,0.0001198010004372918,0.0005667019995598821,0.00012150100064900471,0.39812270600032207,0.39333385000009,0.4212441730005594,0.407977213999402,1.6214946470008726
0,56,110,111,285,233,34,3,31,17,17,0.6663402459200691,0.9690721649484538,0.12371134020618559,0.1276595744680851,0.8453608247422683,34,82,0.6538633292483299,5.874520778656006,5.14431095123291,5.79817428048124,0.07634649817476546,5.949118137359619,5.2505621910095215,5.904425520257852,0.04469261710176742,0.0001187999996545841,0.0006241030005185166,0.00016470100035803625,0.4093637199994191,0.4197211660002722,0.39497915700030717,0.42033026899935066,1.645312116000241
0,57,110,111,96,88,34,6,28,18,16,1.0670838917002958,1.0,0.6008403361344538,0.6008403361344538,0.39915966386554635,17,3,3.5073690574710104,6.293853282928467,2.6090681552886963,6.116437212759706,0.1774160701687606,6.258355617523193,2.5164008140563965,6.023769871527406,0.23458574599578697,0.00012200099990877789,0.0005769020008301595,0.00011900099980266532,0.39796656999988045,0.4064266069999576,0.39994907999971474,0.40141198499986785,1.6065820459998577
0,58,110,111,219,190,34,3,31,25,9,0.7570880967028001,0.9843750000000001,0.203125,0.20634920634920634,0.7812500000000001,34,50,1.0631220284849405,6.166208744049072,5.022392749786377,6.0855147782713175,0.08069396577775478,6.130363464355469,5.023516654968262,6.086638683453202,0.0437247809022665,0.00011760100005631102,0.0006684030004180386,0.0001958009997906629,0.4099523240001872,0.39880157399966265,0.3966101650003111,0.42226217899951735,1.6286173469998175
0,59,110,111,123,113,34,1,33,20,14,1.0950213951223038,1.0,0.388888888888889,0.388888888888889,0.6111111111111112,27,11,2.2875201437208386,6.247802257537842,4.217139720916748,6.504659864637587,-0.2568576070997448,6.744100093841553,4.2167840003967285,6.504304144117567,0.23979594972398566,0.0001613000003999332,0.0005924030001551728,9.669999963080045e-05,0.4138981420001073,0.4026299929992092,0.39896827600023244,0.42390948699994624,1.640266301000338
0,60,110,111,145,136,34,0,34,18,16,0.769112741245943,1.0,0.37394957983193267,0.37394957983193267,0.6260504201680673,23,20,2.2400674048592064,6.510182857513428,4.205748558044434,6.44581596290364,0.06436689460978773,6.480368137359619,4.182216644287109,6.422284049146316,0.05808408821330335,0.00013860099988960428,0.000621802000750904,0.00010990099963237299,0.4039411989997461,0.3983793780007545,0.397917876000065,0.396283069000674,1.5974022259997582
